n1,nsv,al,av,n,λ,s/h0,result
0.30 ,0.33 ,0.22 ,1.25 ,0.52 ,1.50 ,0.38 ,s
0.15 ,0.16 ,0.25 ,0.32 ,0.28 ,1.50 ,0.18 ,s
0.20 ,0.22 ,0.32 ,0.64 ,0.75 ,2.00 ,0.41 ,s
0.24 ,0.26 ,0.54 ,0.63 ,0.66 ,2.00 ,0.37 ,s
0.23 ,0.25 ,0.75 ,0.49 ,0.87 ,1.50 ,0.30 ,s
0.17 ,0.18 ,0.46 ,0.98 ,0.33 ,1.50 ,0.32 ,s
0.15 ,0.17 ,0.27 ,0.59 ,0.85 ,2.00 ,0.43 ,s
0.24 ,0.26 ,0.46 ,1.07 ,0.40 ,2.00 ,0.27 ,s
0.11 ,0.12 ,0.19 ,0.42 ,0.30 ,1.50 ,0.20 ,s
0.10 ,0.11 ,0.33 ,0.17 ,0.59 ,2.50 ,0.41 ,s
0.20 ,0.23 ,0.42 ,1.10 ,0.84 ,1.50 ,0.31 ,s
0.03 ,0.04 ,0.53 ,0.66 ,0.56 ,2.00 ,0.45 ,s
0.16 ,0.17 ,0.46 ,0.44 ,0.62 ,2.00 ,0.41 ,s
0.30 ,0.33 ,0.70 ,0.53 ,0.45 ,2.50 ,0.40 ,s
0.29 ,0.32 ,0.43 ,1.10 ,0.62 ,2.00 ,0.29 ,s
0.17 ,0.19 ,0.28 ,0.52 ,0.69 ,2.00 ,0.47 ,s
0.17 ,0.19 ,0.33 ,0.47 ,0.84 ,1.50 ,0.20 ,s
0.11 ,0.12 ,0.66 ,0.62 ,0.78 ,2.50 ,0.21 ,s
0.10 ,0.11 ,0.26 ,0.16 ,0.59 ,2.00 ,0.41 ,s
0.23 ,0.26 ,0.29 ,0.57 ,0.74 ,2.00 ,0.44 ,s
0.26 ,0.29 ,0.63 ,0.77 ,0.86 ,1.50 ,0.34 ,s
0.21 ,0.23 ,0.61 ,0.27 ,0.74 ,3.50 ,0.29 ,s
0.23 ,0.25 ,0.46 ,0.70 ,0.60 ,2.00 ,0.41 ,s
0.04 ,0.05 ,0.42 ,1.15 ,0.69 ,1.50 ,0.46 ,s
0.08 ,0.09 ,0.43 ,0.84 ,0.77 ,2.00 ,0.24 ,s
0.30 ,0.34 ,0.25 ,0.64 ,0.82 ,1.50 ,0.21 ,s
0.26 ,0.29 ,0.40 ,0.88 ,0.76 ,2.00 ,0.19 ,s
0.28 ,0.31 ,0.47 ,0.86 ,0.81 ,1.50 ,0.15 ,s
0.18 ,0.20 ,0.34 ,0.15 ,0.87 ,3.00 ,0.29 ,s
